,JobText
0,"Title: Construction Inspector - Cincinnati OH 
 COMPANY: TRC Companies 
 Location ZipCode: 45217 
 Job Description: TRC is currently hiring throughout Ohio for Construction Inspectors
- Highway Construction Inspection
- PCI Inspection
- Concrete and Paving Inspection
- Bridge Inspection
- Chief Inspector
Requirements:
- Minimum qualifications include a high school diploma.
- Five or more years in construction inspection of highway or bridges preferred.
- Candidate should have at least one of the following:
- NICET Highway Construction
- ACI Concrete Field Testing Certification
- ODOT certifications or equivalent certifications from other states.
- Current certifications and previous project experience is preferred.
- Ohio DOT (ODOT) certifications and previous transportation project experience is preferred, but not mandatory for employment.
- Opportunities may also be available at other locations.
#LI-D01
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled

TRC

Cincinnati, OH - CNC  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""4e2c7b6a6dc140fea8e725bca2e281581807""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 06-0861618 
 fedcontractor: 1"
1,"Title: Talent Acquisition Specialist - Specialist Sr - PSO 
 COMPANY: American Electric Power 
 Location ZipCode: 74152 
 Job Description: 17837BR

Title:

Talent Acquisition Specialist - Specialist Sr - PSO

Job Description:

Become a part of a progressive, fast paced, innovative and diverse organization focused on being The Energy Company of the Future. Youâll find work to be rewarding when you become part of the Talent Acquisition team as we keep our eye on finding & placing the best talent to support AEPâs mission and vision.

Summary/Objective:

The Talent Acquisition Specialist is responsible for full life-cycle recruiting: recruiting, screening, recommending placement of, and onboarding staff.

Essential Functions:

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

- Partners with hiring manager and HR Business Partner to determine staffing needs.

- Screens resumes, interviews candidates (by phone or in person), administers appropriate testing and reference/background checking, makes recommendations for hire (or not hire), and delivers employment offers for both exempt and nonexempt position openings within an assigned territory.

- Uses traditional and nontraditional resources, such as career fairs, online job fairs, community network events, etc., to identify and attract quality candidates.

- Partners with Sourcing Specialist in order to bring a diverse slate of qualified candidates to the hiring manager.

- Manages internal transfer process, including screening, coordination of interviews with hiring manager, transfer offer letters, etc.

- Follows up with candidates and hiring managers to obtain feedback regarding recruiting process.

- Develops and maintains an excellent relationship with internal and external clients to ensure achievement of staffing goals.

- Communicates important employment information during delivery of employment offers (e.g., benefits, compensation, non-compete agreements).

- Responsible to ensure onboarding and new hire orientation processes occur.

- Works with hiring managers to ensure compliance with all federal/state laws and regulations, including affirmative action plan compliance.

- Manages current candidate activity in the applicant tracking system (ATS).

- Manages application/resume file and retention according to company policy.

- Maintains memberships and affiliations with trade/professional organizations related to industry.

- Participates in the development of annual Affirmative Action Plans as assigned by the Talent Acquisition Manager.

- Suggests and helps implement on-going process improvements to ensure an effective, efficient and compliant recruiting process.

Auto req ID:

17837BR

Relocation:

No

Location:

Tulsa, OK

Job Type:

Full-Time

Job Category:

Human Resources/Recruiting/Training

Minimum Requirements:

Talent Acquisition Specialist:

Education: Bachelor's degree in human resource management or related field.

Experience: Three years of corporate experience in recruitment and placement of applicants in professional and management level exempt positions, including one year of knowledge and experience working with electronic applicant systems and internet recruiting sources.

Licenses/Certifications: Valid driverâs license.

Talent Acquisition Specialist Sr.:

Education: Bachelor's degree, human resource management or related field.

Experience: Five years' corporate experience in recruitment and placement of applicants in professional and management level exempt positions including 3 years of knowledge and experience working with electronic applicant systems and internet recruiting sources

Licenses/Certifications: Valid driverâs license.

Additional Information:

- Some travel may be required.

Competencies:

- Business acumen.

- Strong verbal and written communication skills.

- Global & cultural awareness.

- Relationship management.

- Consulting/coaching.

Equal Opportunity Employer | Minorities/Females/Disability/Vets  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""027755e2acfd4e34936324e197a65edf1808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 13-4922640 
 fedcontractor: 1"
2,"Title: Subcontracts Administrator 
 COMPANY: CACI International 
 Location ZipCode: 73163 
 Job Description: Job Description


At CACI, we are thrilled to open our new Shared Services Center (SSC) in Oklahoma City, OK! Our SSC will be home to hundreds of CACI team members working in critical corporate functions, such as Finance and Accounting, Information Systems, Contracts, Procurement, Security and Human Resources



What You'll get to do:

As a Sub Contracts Administrator the individual will work under very general supervision, responsible for preparation and administration of subcontracts, task orders and subsequent amendments consistent with client requirements, government regulations and procurement policies/procedures. Typically works on subcontract activities valued up to $700,000. May be assigned higher value tasks with oversight from more senior level staff.



More about this role:

Administer and manages subcontracts in accordance with CACI standards, plans and policies. Participates in teaming agreement and strategic marketing alliance negotiations with outside sources. Reviews client solicitations received by company and provides recommendations regarding outsourcing requirements to business management proposal team. Tasks include the negotiation of terms and conditions, analyses of price, and creation of the subcontract document. Responsible for the monitoring of the subcontractor's performance, including the management of the deliverables and payment of invoices. Reviews and resolves with subcontractor issues affecting subcontract performance and ensures subcontractor compliance with legal requirements, company policies, and customer objectives. Candidate must have solid oral and written communication skills. Daily interactions with the Program Team regarding subcontract negotiation, preparation and monitoring is required. Prepares and disseminates information regarding subcontract status, compliance, modification, deviation, negotiation and termination. May research and assist in recommending subcontract policies and procedures. May provide advice and guidance to less experienced employees.



What qualifications You will bring:

Typically requires bachelor's degree or equivalent, and two to four years of related (government subcontract administration) experience.



These qualifications would be nice to have:

Costpoint and P2P system knowledge

Knowledge of FAR, DFAR and GSA Schedules



What We Can Offer You:

Weâve been named a Best Place to Work by the Washington Post.

Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.

We offer competitive benefits and learning and development opportunities.

We are mission-oriented and ever vigilant in aligning our solutions with the nationâs highest priorities.

For over 55 years, the principles of CACIâs unique, character-based culture have been the driving force behind our success.



SSC CPOK


Job Location

US-Oklahoma City-OK-OKLAHOMA CITY



CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""04048a776bbc47a68bdfe1481c1170411808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 54-1008371 
 fedcontractor: 1"
3,"Title: Sr. Program Finance Analyst 
 COMPANY: IAP Worldwide Services 
 Location ZipCode: 73163 
 Job Description: 6/19/2018

Sr. Program Finance Analyst


Tracking Code

3362

Job Description


IAP â Ingenuity and Purpose



www.iapws.com



As a leading international services company for more than 65 years, IAP provides a broad spectrum of services and solutions to U.S. and international government agencies, and organizations. A world-class leader in providing seasoned program management, IAP leverages and integrates its capabilities â IT & Communications, Aviation & Engineering Solutions, Power Solutions, Infrastructure & Logistics - to provide safe, innovative, and reliable solutions to meet customers' diverse and complex challenges. With 2,500 team members, IAP operates in more than 110 locations in 27 countries worldwide and maintains offices in the Washington D.C. area, Florida, Maryland, Oklahoma, the United Kingdom, and the Middle East. Learn more at www.iapws.com.





Location: Oklahoma City, OK



Job Title: Sr. Program Finance Analyst



Position Summary:

Provide overall guidance and direction to development, maintenance and analysis of the program financial activity. Leadership ability to advise Program Managers and a strong communicator of financial issues/risks to non-financial personnel. Tasks include but are not limited to, baseline planning, actual cost verification, preparation of Estimates at Completion (EAC), variance analysis, revenue and profit forecasting and general support to the Program Manager/Program Team with business and financial analysis.



Primary Duties


- Assure soundness of analysis, good business judgment, compliance with policies and procedures, adequacy of results and that all costs and reasonable fees have been provided for

- Establish, develop and maintain effective business relationships with internal and external customers

- Conduct difficult analytical studies, monitor trends and be able to accurately interpret the results

- Support of government compliance and audit activities

- Understand Contract design and structure to include: FFP; CPIF; CPFF; CPAF; BOA; IDIQ; Foreign Military Sale (FMS); and International Direct Commercial Sale (DCS), and, competitive and sole source procurements

- Strong grasp of generally accepted accounting principles and an in-depth working knowledge of the Cost Accounting Standards (CAS) and IFRS

- Program & Finance: Basis of Estimate (BOE) preparation; Budget preparation, reporting and management; Cost & Variance Analysis; Estimate at Completion (EAC); Contractual Reporting (CDRL, EVM, Cost & Pricing, C/SSR); Audit support; and Program Review preparation

- Other duties as assigned.




Knowledge & Skills


- Knowledge of the FAR, DFAR, CAS & SOX

- Contract Compliance Knowledge

- Developing Leadership Skills

- Understand financial analysis principles and have financial analysis skills

- Ability to mentor junior staff members

- Working knowledge of IR&D/B&P/Direct Sell and Allowable vs. Unallowable Cost

- Strong computer skills (MS Office Suite, MS Project, Visio, Oracle, Pro Pricer)






Experience & Education




- Bachelorâs Degree in Business, Finance, Accounting or related field and at least five years of progressive experience in a government contracting environment.

- MA, MS and/or Professional Certification is desirable.







Job Location

Oklahoma City, Oklahoma, United States

Position Type

Full-Time/Regular  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""aa7cc67e37c34f30a1f44e299cd90b891808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
4,"Title: Sales Specialist ProServices 
 COMPANY: Lowe's 
 Location ZipCode: 97128 
 Job Description: Job Description:

Position Description

Serves as the store expert in the ProServices department by providing detailed product information to both customers and peers, promoting and recommending products, plans, or installation services that match customer needs, informing customers on pricing, options or status on pending orders. Includes generating leads, conducting sales activities, building relationships with customers, keeping shelves stocked and correctly displayed, and coordinating successful completion of projects and orders. This includes performing order management duties such as entering new orders for customers, reaching out to vendors on special orders, tracking and fulfilling orders, and resolving issues

Job Requirements

Requires morning, afternoon, and evening availability any day of the week. Physical ability to move large, bulky and/or heavy merchandise. Physical ability to perform tasks that may require prolonged standing, sitting, and other activities necessary to perform job duties.

Minimum Qualifications

High School Diploma or equivalent.

1 year external experience in customer facing sales OR 6 months Lowe's retail experience.

1 year sales experience in building and maintenance, building and maintenance supply, construction, trades, or MRO (maintenance repair operations), identifying and selling products based on customer needs, including credit cards, installations, add-on sales, and explaining warranties, product features, and benefits.

1 year building and maintenance, building and maintenance supply, construction, trades, or MRO (maintenance repair operations) experience providing customer service, including identifying and resolving customer issues, assisting customers in locating product, greeting customers, answering phones, building relationships with customers, and thanking customers for their business.

Preferred Qualifications

1 year experience entering and submitting customer sales orders, including Special Order.

2 years experience identifying and selling products based upon customer needs or plans.

2 years experience in providing exceptional customer service, including greeting customers, answering phones, thanking customers for their business, pulling orders for delivery, pricing jobs, calculating job lot quantities, following up with customers, and cold calling.

2 years experience following up on outstanding or incomplete customer orders, sales, or installs.

1 year experience promoting product related services and plans such as installation, delivery, credit financing, or extended protection plans.

2 years experience in a sales environment with required sales goals or metrics.

Currently licensed in trade area related to commercial sales or general contracting OR previously licensed in trade area related to commercial sales or general contracting.

2 years experience in a trade directly related to commercial sales.

2 years business-to-business sales experience.

Job ID: 1417791BR

Line of Business: Store

Job Category: Specialty Sales

Department: 0404 - Pro Services

Employment Type I: Regular

Employment Type II: Full-Time

Location #: 1693

Location Name: McMinnville, OR

City: McMinnville

State: OR

EEO Statement:

Loweâs is an equal opportunity employer and administers all personnel practices without regard to race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity or expression, marital status, veteran status, genetics or any other category protected under applicable law.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""cad3bee5ddd54e4bae01aab17c60b28e1809""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 560578072 
 fedcontractor: 1"
5,"Title: Regional Truck Driver 
 COMPANY: J.B. Hunt Transport 
 Location ZipCode: 97240 
 Job Description: J.B. Hunt is now hiring CDL-A truck drivers for regional driving jobs within our Intermodal fleet!

This regional Intermodal trucking job features:

- Average annual earnings projected at $52,700

- $2,000 transition assistance bonus available for a limited time

- Home weekly

- Consistent, hassle-free delivery

- Benefit options and a company-matched 401k plan

As America's largest intermodal carrier, J.B. Hunt's fleet boasts 87,000 company-owned and maintained containers and 80,000 company-owned and maintained chassis. Which means our drivers donât have to deal with the hassle of shared or poorly maintained pools. Plus, we offer expedited on/off ramp access and container tracking to cut down wasted time at the yard. And less time on the yard means more time on the road and more money in your pocket.

J.B. Hunt Intermodal drivers also receive access to competitive benefit packages including options for an individual or a family with offerings including medical, dental, prescription and more. Drivers also begin accruing paid time off from day one.

Call 1-877-791-9458 for more information about this regional Intermodal driving job or pre-qualify online now.

JIT-123

J.B. Hunt is an Equal Opportunity Employer
J.B. Hunt Transport, Inc. affirms its belief in equal employment opportunity for all employees and applicants for employment in all terms and conditions of employment. J.B. Hunt is committed to both the spirit and the letter of affirmative action law and continues its good-faith efforts to comply with all applicable government laws and regulations. The Company is committed to basing employment decisions on the principles of equal employment opportunity. J.B. Hunt will recruit, hire, compensate, offer benefits to, upgrade, train, layoff, terminate, and/or promote individuals without discrimination in regards to race, color, religion, sex, national origin, age, sexual orientation, gender identity, status as a qualified individual with a disability, status as a protected Veteran, or other bases by applicable law.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""5867fb7116834244a1836f89e12d72821809""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 58-1081267 
 fedcontractor: 1"
6,"Title: Data Entry II 
 COMPANY: Ukpeagvik Iupiat Corporation/Bowhead Family of Companies 
 Location ZipCode: 19133 
 Job Description: Tracking Code
NSWCPD-18-1072-F

Job Code
18-1072

Posting Title
Data Entry II

Post Date
6/19/2018

Full Time / Part-Time
Full Time

Pay Rate
$17.06

Travel
Up to 50%

City
Philadelphia

State
PA

Country
US

Description
DATA ENTRY OPERATOR (NSWCPD-18-1072-F):

Bowhead seeks Data Entry Operators to work with our Cyber Security team in Philadelphia, PA. The Data Entry Operators will be responsible for entering, interpreting, selecting or coding IT Security data into the correct database. Must be detail oriented, organized,
and able to work quickly, accurately and efficiently with minimal supervision. These individuals will be responsible for accurately entering information gathered by the Analysts into the correct format for distributing to the client, government, inspectors
and other personnel.

Essential functions will include visiting government locations to research and collect cyber security data â this position will require travel 25-50% of the time and a valid US Passport for potential overseas travel.



Requirements
â¢ A High School Diploma or equivalent is required at a minimum in addition to at least one (1+) years of experience in a data entry role

â¢ Intermediate to advanced level skills in Microsoft Office software suite - Word, Excel, Outlook, PowerPoint

â¢ Ability to communicate effectively with all levels of employees and outside contacts

â¢ Strong interpersonal skills and good judgment with the ability to work alone or as part of a team

SECURITY CLEARANCE REQUIRED: Must currently hold and be able to maintain a security clearance at the Secret level. US Citizenship is a requirement at this location.

Applicants may be subject to a pre-employment drug & alcohol screening and/or random drug screen, and must follow UICâs Non-DOT Drug & Alcohol Testing Program requirements. If the position requires, an applicant must pass a pre-employment criminal background
history check. All post-secondary education listed on the applicantâs resume/application may be subject to verification.

Where driving may be required or where a rental car must be obtained for business travel purposes, applicants must have a valid driver license for this position and will be subject to verification. In addition, the applicant must pass an in-house, online, driving
course to be authorized to drive for company purposes.

UIC is an equal opportunity employer. We evaluate qualified applicants without regard to race, age, color, religion, sex, national origin, disability, veteran status, and other protected characteristics EOE/AA/M/F/D/V. In furtherance, pursuant to The Alaska
Native Claims Settlement Act 43 U.S.C. Sec. 1601 et seq., and federal contractual requirements, UIC and its subsidiaries may legally grant certain preference in employment opportunities to UIC Shareholders and their Descendants, based on the provisions contained
within The Alaska Native Claims Settlement Act.

All candidates must apply online at www.uicalaska.com, and submit a completed application for all positions they wish to be considered. Once the employment application has been completed and submitted, any changes to the application after submission may not
be reviewed. Please contact a UIC HR Recruiter if you have made a significant change to your application. In accordance with the Americans with Disabilities Act of 1990 (ADA), persons unable to complete an online application should contact UIC Human Resources
for assistance (http://www.uicalaska.com/contact-us/human-resources/).

UIC Government Services (UICGS / Bowhead) provides innovative business solutions to federal and commercial customers in the areas of engineering, maintenance services, information technology, program support, logistics/base support, and procurement. Collectively,
the fast-growing Bowhead Family of Companies offers a breadth of services which are performed with a focus on quality results. Headquartered in Alexandria, VA, we are a fast-growing, multi-million-dollar corporation recognized as one of the top 25 8(a) companies
for government contracting.

^ Cut/Paste this Link to Apply:

https://rn21.ultipro.com/UKP1001/JobBoard/JobDetails.aspx?__ID=*3780DCDC54F04C49




- Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.

- Please view Equal Employment Opportunity Posters provided by OFCCP
here.

- The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access
to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure
is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41
CFR 60-1.35(c)  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""1cfaefc08bcc44dfb196a002d0fe2c391810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
7,"Title: Diesel Mechanic - Entry Level 
 COMPANY: A. Duie Pyle, Inc. 
 Location ZipCode: 19381 
 Job Description: Requisition Number
18-1072

Job Title
Diesel Mechanic â Entry Level

Full Time / Part Time
Part Time



Location
West Chester HQ

City
West Chester

State
PA

Postal Code
19382

Description

Youâve trained to be a Diesel Mechanic, now you need experience.

Get that experience, and a rewarding career, with A. Duie Pyle!

Successful candidates must be willing and able to work any shift. Positions in the Apprenticeship Program are available in West Chester, PA, and Northborough, MA.


We are hiring entry level mechanics for our Apprenticeship Program. You will train under experienced fleet mechanics for one year where you will continue your learning and gain valuable experience in heavy duty tractor trailer maintenance.

Upon successful completion of the Program, and with your hard work and dedication, you will be promoted to a Diesel Technician where you will be responsible for preventative maintenance and repairs on some of our fleet of trucks and trailers.

Candidates must have completed a program of study in Diesel Technology and must be able to read and comprehend service and repair manuals. Must have own set of tools. EOE/M/F/D/V





Pyle People Deliver! Ask a Pyle driver about our Company and Culture.

· Open door policy.

· Company leaders know your name.

· 4th generation of family ownership.

· Family owners and Senior Leadership regularly visit every location to listen to employees.

· Committed to assuring a secure future for the 2,700 families that depend upon Pyle for their livelihood.


Requirements

Candidates must have completed a program of study in Diesel Technology and must be able to read and comprehend service and repair manuals.

Must have own set of tools.

Must be willing and able to work any shift



As an EEO/Affirmative Action Employer
all qualified applicants will
receive consideration for employment
without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status















Keywords: Apprentice, Experience, Fleet, Diesel Mechanic, Mechanic, Diesel. #CB  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""e7e2de35fc164687ba9268963bbffdd71810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
8,"Title: Technician Trainee - Telecom 
 COMPANY:  
 Location ZipCode: 19425 
 Job Description: Company Job ID-PAH20171610-26563 Responsibilities/Job Description: Primary responsibilities will be the day to day maintenance and repair of Mitel PBX telephone system, Cisco LAN/WAN networking infrastructure and all other communication related duties associated with the office. Additional duties include field maintenance and support for the digital microwave system, Motorola 2-way radios, and computer controlled SCADA equipment. Basic/Minimum Qualifications: &nbsp; Associates Degree in Electronic Engineering or equivalent experience Knowledge of communications services (T3, T1, Frame Relay, DS0 and etc.) Ability to travel for short durations Available for call out 24/7 Safe driving record &nbsp; &nbsp; Desired Qualifications: FCC, General Class Telecommunications License Troubleshooting of leased, data, and telephone line problems Five to Ten years of related communications experience &nbsp; &nbsp; &nbsp; Enbridge is an Equal Opportunity and Affirmative Action Employer and is committed to provide employment opportunities to all individuals, without regard to race, religion, age, sex, color, national origin, sexual orientation, veteran status, or disability.&nbsp; See URL for more information.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""c76e1deef09f4720b2187d8a3f94b4931810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor:"
9,"Title: IT Service Delivery Rep Jr - Mechanicsburg, PA (MECH) 
 COMPANY: ABBTECH Professional Resources, Inc. 
 Location ZipCode: 17055 
 Job Description: IT Service Delivery Rep Junior


Summary: This positionâs primary role will be a Field Services Junior Level Network Technician servicing a large scale Enterprise network. You will be part of a Team of Network Technicians and Engineers servicing sites. This network includes Cisco, Aruba, Brocade, Juniper, Riverbed and McAfee network devices to include Routers, Switches, Access Points, Intrusion Prevention Systems (IPS), Virtual Private Networks (VPN) and WAN Accelerators.


Responsibilities: As a Junior Network Technician you will be expected to install and maintain network devices at the site and work with the NOC technicians and managers to troubleshoot outages and resolve network related issues. You will be responsible to create ticket for maintenances using HPE Service Manager. Candidates will be expected to understand, implement, and follow processes in accordance with current policies and procedures. Perform escalation and additional tasks as directed. Take Direction from the Regional Leader and Site Leaders


Job Requirements: The successful candidate will have basic working knowledge in the Networking and Information Technology field with 0 to 4 plus yearsâ experience in the Information Technology Field with basic Networking knowledge. Position requires the basic skills to manage the execution of maintenance activities and network outages. Fundamental understanding of the OSI Model is required. Candidate needs a basic understanding of network devices such as servers, routers, switches, associated software tools, and cabling in a large LAN/MAN/BAN/WAN environment. Knowledge of network protocols such as OSPF, BGP, and EIGRP is a Plus. Knowledge and experience working with wireless technologies, Virtual Private Networks (VPN), Intrusion Prevention Systems (IPS), and WAN Accelerators and associated technologies is highly desirable. Some travel maybe required. Some Travel will be Required. Ability to Obtain a Government Secret Security Clearance is required.


Skills: The ideal candidate will have a passion for excellence and continual improvement, combined with an entrepreneurial spirit, good written and oral communication skills, strong interpersonal skills, innovative thinking in a fast-paced, ever-changing environment. Good customer service and communication is necessary to ensure customer satisfaction and network reliability. A good problem-solving and troubleshooting skills with servers and Cisco devices are a Plus. Candidate needs to have the ability to lift up to 50 lbs.


Education: A Background Information Technology field or a related technology field is highly desirable. Other evidence of intellectual, technical, business accomplishments, and related technology leadership experiences will be considered. ITIL foundation V3 certification is highly desirable.


APPLICANTS SELECTED WILL BE SUBJECT TO A GOVERNMENT SECURITY INVESTIGATION AND MUST MEET ELIGIBILITY REQUIREMENTS FOR ACCESS TO CLASSIFIED INFORMATION.


Clearance: Active Interim Secret


Certifications: CompTIA Network + and Security+ CE required


ABBTECH is an EOE/Minorities/Women/Disabled Individuals/Veterans  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""07ab778a14a147a6ae978eec381a24f11810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 54-1789173 
 fedcontractor: 1"
